alpha-3,amount,unit
AED,100,Fils
AFN,100,Puls
ALL,100,Qindarka
AMD,100,Luma
ANG,100,Cent
AOA,100,Centimos
ARS,100,Centavos
AUD,100,Cent
AWG,100,Cent
AZN,100,Qäpik
BAM,100,Fening
BBD,100,Cent
BDT,100,Poisha
BGN,100,Stotinki
BHD,1000,Fils
BIF,100,Centimes
BMD,100,Cent
BND,100,Cent
BOB,100,Centavos
BOV,,Bolivien
BRL,100,Centavos
BSD,100,Cent
BTN,100,Chetrum
BWP,100,Thebe
BYN,100,Kopeken
BYR,100,Kopeken
BZD,100,Cent
CAD,100,Cent
CDF,100,Centimes
CHE,100,Cent
CHF,100,Rappen
CHW,100,Rappen
CNY,100,Fen
COP,100,Centavos
CRC,100,Céntimos
CUC,100,Centavos
CUP,100,Centavos
CVE,100,Centavos
CZK,100,Haleru
DJF,100,Centimes
DKK,100,Øre
DOP,100,Centavos
DZD,100,Centimes
EGP,100,Piasters
ERN,100,Cent
ETB,100,Santim
EUR,100,Cent
FJD,100,Cent
FKP,100,Pence
GBP,100,Pence
GEL,100,Tetri
GHS,100,Pesewas
GIP,100,Pence
GMD,100,Bututs
GNF,100,Centimes
GTQ,100,Centavos
GYD,100,Cent
HKD,100,Cent
HNL,100,Centavos
HRK,100,Lipa
HTG,100,Centimes
HUF,100,Fillér
IDR,100,Sen
ILS,100,Agorot
INR,100,Paise
IQD,1000,Fils
IRR,100,Dinars
ISK,100,Aurar
JMD,100,Cent
JOD,100,Piaster
JPY,100,Sen
KES,100,Cent
KGS,100,Tyiyn
KHR,10,Karak
KMF,100,Centimes
KPW,100,Chon
KRW,100,Chon
KWD,1000,Fils
KYD,100,Cent
KZT,100,Tyin
LAK,100,At
LBP,100,Piastres
LKR,100,Cent
LRD,100,Cent
LSL,100,Lisente
LYD,1000,Dirhams
MAD,100,Centimes
MDL,100,Bani
MGA,5,Iraimbilanja
MKD,100,Deni
MMK,100,Pyas
MNT,100,Möngö
MOP,100,Avos
MRU,5,Khoums
MUR,100,Cent
MVR,100,Laari
MWK,100,Tambala
MXN,100,Centavos
MYR,100,Sen
MZN,100,Centavos
NAD,100,Cent
NGN,100,Kobo
NIO,100,Centavos
NOK,100,Øre
NPR,100,Paisa
NZD,100,Cent
OMR,1000,Baizas
PAB,100,Centesimos
PEN,100,Céntimos
PGK,100,Toea
PHP,100,Centavos
PKR,100,Paisa
PLN,100,Groszy
PYG,100,Centimos
QAR,100,Dirhams
RON,100,Bani
RSD,100,Para
RUB,100,Kopeken
RWF,100,Centimes
SAR,20,Qirshes
SBD,100,Cent
SCR,100,Cent
SDG,100,Piaster
SEK,100,Öre
SGD,100,Cent
SHP,100,Pence
SLL,100,Cent
SOS,100,Centesimi
SRD,100,Cent
SSP,100,Piaster
STN,100,Centimes
SVC,100,Centavos
SYP,100,Piastres
SZL,100,Cent
THB,100,Satang
TJS,100,Diram
TMT,100,Tenge
TND,1000,Millimes
TOP,100,Seniti
TRY,100,Kuruş
TTD,100,Cent
TWD,100,Cent
TZS,100,Cent
UAH,100,Kopeken
UGX,100,Cent
USD,10,Dime
UYU,100,Centesimos
UZS,100,Tiyin
VES,100,Céntimos
VND,10,Hào
WST,100,Sene
XAF,100,Centimes
XCD,100,Cent
XOF,100,Centimes
YER,100,Fils
ZAR,100,Cent
ZMW,100,Ngwee
ZWL,100,Cent
